StreetCode,StreetName
110860,FDR DRIVE NB ENTRANCE E 48 ST
110865,FDR DRIVE NB ENTRANCE E 62 ST
110870,FDR DRIVE SB ENTRANCE E 102 ST
110875,FDR DRIVE SB ENTRANCE E 78 ST
110880,FDR DRIVE SB ENTRANCE E 73 ST
110885,FDR DRIVE SB ENTRANCE E 63 ST
110900,F D R DRIVE EXIT 17 NORTHBOUND
110905,FDR DRIVE SB ENTRANCE RFK BR
110910,9 AVENUE
110915,F D R DRIVE EXIT 17 SOUTHBOUND
110920,FDR DRIVE NB ENTRANCE YORK AVE
110925,HARLEM RIVER DRIVE SB EN PRK AVE
110930,HARLEM RIVER DRV SB EN E 142 ST
110935,FDR DRIVE SB EN E HOUSTON ST
110940,FDR DRIVE NB EN E HOUSTON ST
110955,HARLEM RVR DR SB EN AMSTERDAM AV
110960,HARLEM RIVER DRIVE NB EXIT 24
110965,FDR DRIVE NB ENTRANCE E 34 ST
110990,PIER
111010,10 AVENUE
111110,11 AVENUE
111112,12 AVENUE
111115,HENRY HUDSON PARKWAY
111290,ABSECON ROAD
111310,ACADEMY STREET
111410,ADRIAN AVENUE
111435,ALLEY
111440,DISTRICT BOUNDARY
111445,1990 CT BOUNDARY
111450,BOROUGH BOUNDARY
111510,ALBANY STREET
111610,ALLEN STREET
111710,AMSTERDAM AVENUE
111720,AMTRAK-CONNECTING RAIL LINE
111730,ANDES ROAD
111750,ANN STREET
111810,ARDEN STREET
111815,ASSER LEVY PLACE
111820,ASTOR PLACE
111910,ATTORNEY STREET
112010,AUDUBON AVENUE
112110,AVENUE A
112210,AVENUE B
112310,AVENUE C
112410,AVENUE D
112420,AVENUE OF THE FINEST
112510,BANK STREET
112520,BARCLAY STREET
112560,EAST RIVER ESPLANADE
112610,BARROW STREET
112620,BARUCH PLACE
112630,BARRY ROAD
112650,BARUCH DRIVE
112670,BATTERY PLACE
112710,BAXTER STREET
112810,BAYARD STREET
112915,BEAK STREET
112925,BEAR ROAD
112950,BEAVER STREET
113000,BEDFORD STREET
113010,BEEKMAN PLACE
113015,BEEKMAN STREET
113070,MARBLE HILL HOUSES PED PATH
113110,BENNETT AVENUE
113115,BENSON PLACE
113210,BETHUNE STREET
113310,BLEECKER STREET
113320,BLOOMFIELD STREET
113380,CENTRAL ROAD
113385,BRONX SHORE ROAD
113390,TEPPER AVENUE
113395,D'AURIA STREET
113400,HIGGINS AVENUE
113405,REILLY BOULEVARD
113410,BOGARDUS PLACE
113415,CAMMARATA AVENUE
113425,MC GINTY CIRCLE
113430,BOND STREET
113435,ANAYA PLACE
113440,4 DRIVE
113445,LAGUARDIA CIRCLE
113450,B ROAD
113455,E ROAD
113460,BOWERY
113470,2 DRIVE
113475,3 DRIVE
113480,K ROAD
113485,6 DRIVE
113490,G ROAD
113495,H ROAD
113500,J ROAD
113510,BRADHURST AVENUE
113515,5 DRIVE
113520,A ROAD
113525,8 DRIVE
113530,7 DRIVE
113535,HELL GATE CIRCLE
113540,RIVERS EDGE ROAD
113545,RECOVERY ROAD
113550,BRIDGE STREET
113555,CHARLES GAY LOOP
113560,SUNKEN GARDEN LOOP
113565,EAST RIVER LANE
113570,WARDS MEADOW LOOP
113575,C ROAD
113580,F ROAD
113585,HARLEM RIVER PATHWAY
113590,BROAD STREET
113595,I ROAD
113600,PRIORE ROAD
113605,BERRY PLACE
113610,BROADWAY
113612,BROADWAY ALLEY
113615,GALANAUGH LANE
113620,FINLEY PLACE
113625,CARL LEE PLACE
113630,KELLY STREET
113635,KAMINSKY ROAD
113640,MC CARRON DRIVE
113645,BRUNN STREET
113650,SUNKEN MEADOW LOOP
113655,1 DRIVE
113660,RODRIGUEZ PLACE
113665,D ROAD
113670,LITTLE WEST STREET
113675,DANIEL REY SQUARE
113680,KEHAYAS COURT
113685,ALLEN DRIVE
113690,SEARS STREET
113710,BROADWAY TERRACE
113810,BROOME STREET
113910,CABRINI BOULEVARD
114010,CANAL STREET
114020,CANNON STREET
114040,CARDER ROAD
114060,CARDINAL HAYES PLACE
114080,CARLISLE STREET
114110,CARMINE STREET
114160,CARTIGAN ROAD
114210,CATHEDRAL PARKWAY
114285,CATHERINE LANE
114290,CATHERINE SLIP
114310,CATHERINE STREET
114410,CEDAR STREET
114490,CENTRAL PARK SOUTH
114510,CENTRAL PARK WEST
114590,CENTRE STREET
114610,CENTRE MARKET PLACE
114710,CHAMBERS STREET
114790,CHARLES LANE
114810,CHARLES STREET
114910,CHARLTON STREET
114930,CHATHAM SQUARE
114980,CHEROKEE PLACE
115010,CHERRY STREET
115055,CHINCOTEAGUE ROAD
115060,CHISUM PLACE
115110,CHITTENDEN AVENUE
115210,CHRISTOPHER STREET
115310,CHRYSTIE STREET
115350,CHURCH STREET
115410,CLAREMONT AVENUE
115420,CLARKSON STREET
115430,CLAYTON ROAD
115450,CLEVELAND PLACE
115500,CLIFF STREET
115510,CLINTON STREET
115545,COENTIES ALLEY
115550,COENTIES SLIP
115590,COLLISTER STREET
115610,ABRAHAM KAZAN STREET
115710,COLUMBUS AVENUE
115715,COLUMBUS CIRCLE
115730,COMFORT ROAD
115810,COMMERCE STREET
115910,CONVENT AVENUE
116000,COOPER SQUARE
116010,COOPER STREET
116110,CORNELIA STREET
116135,CORTLANDT ALLEY
116140,CORTLANDT STREET
116145,CRAIG ROAD NORTH
116147,CRAIG ROAD SOUTH
116150,CROSBY STREET
116210,CUMMING STREET
116310,DELANCEY STREET
116320,DE PEW PLACE
116350,DESBROSSES STREET
116390,DEY STREET
116410,DIVISION STREET
116450,DIVISION ROAD
116505,DONNELLON SQUARE
116510,DOMINICK STREET
116610,DONGAN PLACE
116650,DOVER STREET
116710,DOWNING STREET
116750,DOYERS STREET
116850,DUANE STREET
116880,DUTCH STREET
116910,DYCKMAN STREET
116920,DYER AVENUE
116930,EARLYBIRD ROAD
117010,EAST 1 STREET
117030,EAST 2 STREET
117050,EAST 3 STREET
117070,EAST 4 STREET
117075,EAST 4 WALK
117090,EAST 5 STREET
117095,EAST 5 WALK
117110,EAST 6 STREET
117130,EAST 7 STREET
117150,EAST 8 STREET
117170,EAST 9 STREET
117190,EAST 10 STREET
117210,EAST 11 STREET
117230,EAST 12 STREET
117250,EAST 13 STREET
117270,EAST 14 STREET
117290,EAST 15 STREET
117310,EAST 16 STREET
117330,EAST 17 STREET
117350,EAST 18 STREET
117370,EAST 19 STREET
117390,EAST 20 STREET
117410,EAST 21 STREET
117430,EAST 22 STREET
117450,EAST 23 STREET
117470,EAST 24 STREET
117490,EAST 25 STREET
117510,EAST 26 STREET
117530,EAST 27 STREET
117550,EAST 28 STREET
117570,EAST 29 STREET
117590,EAST 30 STREET
117610,EAST 31 STREET
117630,EAST 32 STREET
117650,EAST 33 STREET
117670,EAST 34 STREET
117690,EAST 35 STREET
117710,EAST 36 STREET
117730,EAST 37 STREET
117750,EAST 38 STREET
117770,EAST 39 STREET
117790,EAST 40 STREET
117810,EAST 41 STREET
117830,EAST 42 STREET
117850,EAST 43 STREET
117870,EAST 44 STREET
117890,EAST 45 STREET
117910,EAST 46 STREET
117930,EAST 47 STREET
117950,EAST 48 STREET
117970,EAST 49 STREET
117990,EAST 50 STREET
118010,EAST 51 STREET
118030,EAST 52 STREET
118050,EAST 53 STREET
118070,EAST 54 STREET
118090,EAST 55 STREET
118110,EAST 56 STREET
118130,EAST 57 STREET
118150,EAST 58 STREET
118170,EAST 59 STREET
118190,EAST 60 STREET
118210,EAST 61 STREET
118230,EAST 62 STREET
118250,EAST 63 STREET
118270,EAST 64 STREET
118290,EAST 65 STREET
118310,EAST 66 STREET
118330,EAST 67 STREET
118350,EAST 68 STREET
